vehicle_id,lane_number,frame,timestamp_s
976,1,8003,266.767
1012,1,8063,268.767
1011,1,8066,268.867
980,2,8087,269.567
1022,1,8149,271.633
1021,1,8150,271.667
1026,1,8183,272.767
1023,2,8186,272.867
1018,1,8187,272.900
1019,1,8210,273.667
1039,1,8241,274.700
1038,2,8244,274.800
1044,1,8275,275.833
1034,1,8330,277.667
1052,1,8331,277.700
1045,1,8359,278.633
1065,1,8386,279.533
1063,2,8394,279.800
1048,1,8424,280.800
1042,2,8449,281.633
1079,1,8458,281.933
1064,1,8469,282.300
1086,1,8499,283.300
1072,2,8502,283.400
1090,1,8503,283.433
1081,1,8541,284.700
1099,1,8560,285.333
1070,2,8573,285.767
1093,1,8615,287.167
1103,2,8634,287.800
1107,1,8653,288.433
1108,1,8661,288.700
1110,2,8681,289.367
1123,3,8777,292.567
1128,1,8798,293.267
1126,1,8800,293.333
1129,1,8813,293.767
1120,1,8819,293.967
1106,2,8872,295.733
1121,1,8873,295.767
1131,1,8911,297.033
1134,1,8953,298.433
1138,1,9009,300.300
1144,1,9029,300.967
1164,1,9047,301.567
1154,2,9055,301.833
1163,3,9059,301.967
1177,1,9161,305.367
1173,1,9165,305.500
1181,3,9176,305.867
